feature_name,feature_class,prim_lat_dec,prim_long_dec
Castle Peak,Summit,36.9873163,-118.8630268
Catfish Lake,Lake,39.3342917,-120.4644102
Cathey Pond,Lake,37.4735937,-120.2274171
Cats Head Mountain,Summit,36.958609,-119.2519914
Cedar Canyon,Valley,38.6377378,-120.5645922
Cedar Gulch,Valley,37.9418303,-120.2192257
Centerville,Populated Place,36.7338394,-119.4979071
Chain Lakes,Lake,36.9819552,-118.8881801
Chalfant Valley,Valley,37.4735421,-118.3667938
Chango Lake,Lake,38.3779051,-119.5866107
Chapman Creek,Stream,37.2535565,-119.9457191
Chimney Spring,Spring,36.5557192,-119.0661906
Chimney Spring,Spring,36.8660614,-119.5162435
China Gulch,Valley,37.4029304,-120.0041223
China Hat,Summit,37.4566216,-120.3492134
Cinnabar Canyon,Valley,38.1646879,-119.1516844
Cirque Mountain,Summit,38.1315459,-119.4589458
Citrus Cove,Basin,36.7052272,-119.3512334
Clark Canyon,Valley,38.2703981,-119.1923236
Clark Reservoir,Reservoir,38.3340123,-120.5142172
Clear Lake,Lake,38.1283596,-119.9384071
Clearwater Creek,Stream,38.1749205,-119.1948747
Cliff Lake,Lake,38.975925,-120.148652
Cliff Peak,Summit,36.5565074,-119.1716176
Clinton Spring,Spring,38.4388053,-119.2398584
Clotho,Populated Place,36.7213392,-119.6098571
Coburn Lake,Lake,39.5595005,-120.453473
Cockscomb Lakes,Lake,37.4618856,-119.0434555
Coffin Hollow,Valley,38.1331406,-119.9444629
Colby Lake,Lake,36.6282239,-118.5130243
Cold Creek,Stream,38.911852,-119.9707369
Cold Creek,Stream,37.3807754,-119.0017858
Cold Creek,Stream,39.3232395,-120.2238097
Cold Stream,Stream,39.5774035,-120.3682632
Cold Sulphur Spring,Spring,36.582275,-119.0105431
Coldstream Valley,Valley,39.3160483,-120.2290866
Cole Spring,Spring,36.9850224,-119.2798032
Collier Cove,Basin,36.5266156,-119.085385
Collins Creek,Stream,36.6713395,-119.5281855
Cone Hill,Summit,38.184173,-120.3305233
Conejo,Populated Place,36.5182834,-119.7190244
Conness Lakes,Lake,37.9747498,-119.3056774
Contact Pass,Gap,37.1079886,-118.4876054
Coon Spring,Spring,36.521746,-119.0416515
Copper Creek,Stream,36.7938277,-118.5803768
Cora Lakes,Lake,37.5955047,-119.271238
Corn Jack Peak,Summit,36.6391791,-119.1592228
Corral Gulch,Valley,38.225756,-120.5450388
Corral Gulch,Valley,38.4550934,-120.0440706
Corral Valley,Basin,38.4912994,-119.5726703
Corral Valley Creek,Stream,38.4985212,-119.6048938
Cottonwood Canyon,Valley,37.6608051,-118.3508044
Cottonwood Canyon,Valley,38.1327269,-119.0227942
Cottonwood Canyon,Valley,38.4617179,-119.234467
Cottonwood Creek,Stream,36.8449482,-120.3143356
Cottonwood Creek,Stream,36.9977274,-119.7073673
Cottonwood Creek,Stream,39.1149054,-120.3760314
Cottonwood Creek,Stream,39.5471265,-120.3204836
Cow Creek,Stream,37.2716114,-119.9596094
Cow Creek,Stream,38.232694,-120.0435191
Cowcamp Creek,Stream,38.3349154,-119.4490537
Coyote Creek,Stream,37.3140968,-118.5098362
Coyote Lake,Lake,37.4643282,-119.0523531
Coyote Pass,Gap,36.9807738,-118.7634379
Coyote Spring,Spring,39.1415236,-120.4017429
Coyote Valley,Valley,38.4946582,-119.6000075
Crag Lake,Lake,38.9916818,-120.1563592
Crandall Peak,Summit,38.1588366,-120.1434027
Crater Mountain,Summit,36.9224799,-118.4209834
Crooked Creek,Stream,37.4146539,-118.0042618
Crooked Road Canyon,Valley,37.1698073,-118.1937353
Cross Mountain,Summit,36.7359642,-118.5032957
Crown Valley,Basin,36.945365,-118.832245
Crystal Creek,Stream,36.9163304,-118.7637148
Cunningham Creek,Stream,36.6738273,-118.5375963
Curtis Creek,Stream,37.9110372,-120.4051946
Dan Sullivan Gulch,Valley,37.6412072,-120.3712732
Darby Pond,Basin,36.5827281,-119.672635
Dardanelles Cone,Summit,38.4045948,-119.8720275
Dark Canyon,Valley,38.6838565,-120.3611591
Dark Canyon,Valley,39.5783675,-120.4038377
Dark Canyon,Valley,39.580116,-120.3023914
Daulton Spring,Spring,37.17138,-119.791961
Davis Creek,Stream,36.8424471,-119.0903915
Davis Mountain,Summit,36.9858513,-119.2923707
Dawson Lake,Reservoir,37.646989,-120.4783046
De Long Creek,Stream,37.4471615,-119.7884957
Deadman Creek,Stream,37.4774377,-120.163515
Deadman Creek,Stream,38.3132454,-119.747676
Deadman Lake,Lake,38.2924154,-119.6592823
Deep Canyon,Valley,37.3665719,-118.5084046
Deep Canyon,Valley,39.4566212,-120.0072674
Deep Creek,Stream,36.9332814,-119.2448432
Deep Creek,Stream,39.2582396,-120.2085298
Deep Hollow,Valley,37.2642612,-119.8925162
Deep Wash Canyon,Valley,38.2747495,-119.4282702
Deer Creek,Stream,37.873538,-120.29658
